Outcome measures (specific),Cluster general ,Mapping Cluster general,Mapping Agronomy cluster,Crop type studied,Cluster
germination rate (no pr time measurement),Metabolism,Morphometrics,Plant morphology & Crop development,Tomato,Horticulture
stem diameter,Morphometrics,Physiology,Plant physiology & Metabolism,Cowpea,Pulses
stem length,Morphometrics,Metabolism,Plant physiology & Metabolism,Rice,Cereal and Grains
plant height,Morphometrics,Disease incidence & severity,Agricultural phytopathology,passion fruit,Fruticulture
number of leaves,Morphometrics,Entomology,Agricultural entomology,Wheat,Cereal and Grains
germination rate (total % germinated),Metabolism,Pest incidence & severity,Agricultural entomology,pigeon pea,Pulses
area under the disease progress curve,Pest incidence & severity,Soil fertility,Soil Science,Maize/corn,Cereal and Grains
area under the curve of mycelial growth,Disease incidence & severity,,,Bean,Pulses
root volume,Morphometrics,,,Cabbage,Horticulture
root length,Morphometrics,,,Lettuce,Horticulture
root fresh mass,Morphometrics,,,Potato,Horticulture
root dry mass,Morphometrics,,,Mango,Fruticulture
fruit fresh mass,Morphometrics,,,Turnip,Horticulture
fruit dry mass,Morphometrics,,,Cucumber,Horticulture
dead plants %,Morphometrics,,,Strawberry,Fruticulture
emergence rate (no pr day),Metabolism,,,Chamba,Medicinal Plants
emergence rate (total %),Metabolism,,,Pea,Pulses
radicle fresh mass,Morphometrics,,,Radish,Horticulture
radicle dry mass,Morphometrics,,,Tiririca,Weeds
radicle length,Morphometrics,,,Glasswort,Medicinal Plants
Chlorophyll B,Physiology,,,Picao,Weeds
Chlorophyll A,Physiology,,,Mint,Medicinal/aromatic
leaf area,Morphometrics,,,Rosemary,Medicinal Plants
number of sclerotia,Disease incidence & severity,,,Lippia,Medicinal/aromatic
number of fruits,Morphometrics,,,Sunflower,Horticulture
number of floral blooms,Morphometrics,,,Okra,Horticulture
aerial parts fresh mass,Morphometrics,,,White aphelandra,Floriculture
aerial parts dry mass,Morphometrics,,,Onion,Horticulture
oil content mass %,Physiology,,,Eucalyptus,Silviculture
leaf dry mass,Morphometrics,,,Artemisia,Medicinal/aromatic
leaf fresh mass,Morphometrics,,,Carqueja,Medicinal Plants
number of branches,Morphometrics,,,Mulberry,Fruticulture
stem fresh mass,Morphometrics,,,Yerba mate,Medicinal/aromatic
stem dry mass,Morphometrics,,,N/A,
seedling dry mass,Morphometrics,,,Parsley,Medicinal/aromatic
seedling fresh mass,Morphometrics,,,Grapevine,Fruticulture
number of sprouts,Morphometrics,,,Sisal,Horticulture
number of pest pr area,Pest incidence & severity,,,Tobacco,Medicinal/aromatic
number of attaced plants,Pest incidence & severity,,,Pepper,Horticulture
degrees of phytotoxication,Physiology,,,Broccoli,Horticulture
mortality variance (%),Physiology,,,Nematode,
